Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
188.0,9.854874595547287,0.3478538418581776,0.7419202059930923,18.476002230651755,10.159661602378232,6.324902908570909
189.0,9.911856832660675,0.34148239829694993,0.745443996335344,18.50664703580179,10.180378727319479,6.331093147413675
190.0,9.969048749499754,0.3351410732039062,0.7489845231113472,18.534793538279864,10.198760638787187,6.338054621544254
191.0,10.026449669104903,0.32882972420595435,0.7525418658117033,18.560650970934738,10.214222134363467,6.345642521937395
192.0,10.084058900928346,0.322548209603015,0.7561161043045582,18.585541872743406,10.228145474950674,6.355068062740363
193.0,10.141875740978344,0.3162963883648362,0.759707318837398,18.610988646896583,10.242226308538322,6.362914583724919
194.0,10.19989947196752,0.31007412012783386,0.7633155900388464,18.636159046316664,10.25610487954164,6.3699676622868004
195.0,10.258129363465374,0.3038812651919365,0.7669409989204776,18.6625395610935,10.269168004552839,6.3773487587365425
196.0,10.316564672054865,0.2977176845174465,0.7705836268786364,18.692194413809776,10.28300660271341,6.384275071570256
197.0,10.375204641492832,0.29158323972192446,0.7742435556962617,18.71856868282992,10.295772329774529,6.390533319763537
198.0,10.434048502874418,0.28547779307707843,0.7779208675447254,18.74446671290322,10.308249452910987,6.396161440505115
199.0,10.493095474801232,0.27940120750566955,0.7816156449856786,18.769936908643945,10.320134977974721,6.401654005194303
200.0,10.552344763553133,0.2733533465784399,0.7853279709729014,18.801359310500633,10.332233958018744,6.406995283777245
201.0,10.611795563263714,0.2673340745110473,0.7890579288541674,18.829537041762105,10.344159455925228,6.41205434668798
202.0,10.67144705609926,0.2613432561610123,0.7928056023731169,18.85800676214836,10.355501350327538,6.4173262279744785
203.0,10.73129841244102,0.2553807570246911,0.7965710756711335,18.8870963738851,10.367100669837171,6.42253935288332
204.0,10.791348791070902,0.2494464432342529,0.8003544332892343,18.912226175886776,10.379802440349895,6.427974086492141
205.0,10.85159733936031,0.24354018155467028,0.8041557601699713,18.939449867815394,10.393533911291891,6.4332034041034865
