Snapshot,Time_Gyr,Redshift,ExpansionFactor,SubhaloGasMassUnder10000K_Msun,SubhaloGasMassUnder20000K_Msun,SubhaloGasMassUnder50000K_Msun,SubhaloGasMassUnder100000K_Msun,Suite,Simulation,Galaxy
89,7.657754221443944,0.6446418406845371,0.6080351206337894,355921344.0,5163017728.0,13766781952.0,20932859904.0,Au,17,
90,7.80170653839661,0.6214287452425136,0.616740021992414,666483136.0,6896812544.0,20320638976.0,29129807872.0,Au,17,
91,7.947679589081643,0.5985432881875667,0.6255695465925124,850185536.0,10638942208.0,20081037312.0,28537231360.0,Au,17,
92,8.095671082722221,0.5759808451078874,0.6345254785958663,630922688.0,9591238656.0,19128756224.0,27490017280.0,Au,17,
93,8.296126559325902,0.5463921831410221,0.6466664866145445,299612032.0,5262298112.0,13442818048.0,20850935808.0,Au,17,
94,8.448811765562718,0.524565820433923,0.6559244517992534,793337152.0,10938787840.0,19675617280.0,27209725952.0,Au,17,
95,8.60349865622863,0.5030475232448832,0.6653149581332802,1568578688.0,12978765824.0,20896518144.0,28374519808.0,Au,17,
96,8.760179450310375,0.4818329434209512,0.6748399031346985,406527424.0,5858713088.0,14720275456.0,22434084864.0,Au,17,
97,8.918845098217659,0.4609177941806475,0.684501211487295,724749056.0,10889094144.0,18928482304.0,27242852352.0,Au,17,
98,9.079485288786328,0.4402978492477432,0.6943008354294861,138705952.0,4212066304.0,10618504192.0,17218111488.0,Au,17,
99,9.242088459951992,0.4199689419972665,0.7042407551488017,235689584.0,5613274112.0,11185030144.0,17359814656.0,Au,17,
100,9.406641813093389,0.3999269646135635,0.7143229791820179,258323648.0,6889715200.0,11740497920.0,18376183808.0,Au,17,
101,9.573131331020738,0.3801678672602386,0.7245495448210172,290889792.0,5948333568.0,13558006784.0,20272818176.0,Au,17,
102,9.741541799560094,0.3606876572618167,0.7349225185244588,700929280.0,9297144832.0,16802979840.0,23194411008.0,Au,17,
103,9.854874595547289,0.3478538418581776,0.7419202059930923,419693952.0,8771822592.0,16489755648.0,23178737664.0,Au,17,
104,10.026449669104904,0.3288297242059543,0.7525418658117033,417025024.0,8156823040.0,14535491584.0,20370905088.0,Au,17,
105,10.19989947196752,0.3100741201278338,0.7633155900388464,654741376.0,10119520256.0,16712753152.0,22306009088.0,Au,17,
106,10.375204641492832,0.2915832397219244,0.7742435556962617,177712672.0,6524513792.0,12290287616.0,17385775104.0,Au,17,
107,10.552344763553132,0.2733533465784399,0.7853279709729014,261261824.0,6342376448.0,13019301888.0,18276950016.0,Au,17,
108,10.67144705609926,0.2613432561610123,0.7928056023731169,108202680.0,5762151424.0,11996910592.0,17110812672.0,Au,17,
109,10.85159733936031,0.2435401815546702,0.8041557601699713,90316208.0,5283905536.0,11838561280.0,16969230336.0,Au,17,
110,11.033523308792786,0.2259883862601976,0.8156684118765909,68121664.0,2535252736.0,8793262080.0,15009604608.0,Au,17,
